"","NAME","ADDRESS"
"1","강남대로","서울+서초구+강남대로+201+서초구민회관+앞+중앙차로"
"2","공항대로","서울+강서구+마곡동+727-1091+마곡역+중앙차로정류장+옆"
"3","도산대로","서울+강남구+도산대로+104+신사역2번출구+앞"
"4","동작대로 중앙차로","서울+동작구+동작대로+144+이수역+북단+버스중앙차로"
"5","신촌로","서울+마포구+노고산동+57-62+(신촌역+7번+출구)"
"6","정릉로","서울+성북구+정릉로+180+내부순환로+내선+정릉램프+출구"
"7","청계천로","서울+중구+청계천로+184+(청계천4가사거리+남강빌딩+앞)"
"8","홍릉로","서울+동대문구+홍릉로+1+(청량리전철역+사거리+SC제일은행+앞)"
"9","계산","인천+계양구+계산동+907-4+(계양산로134번길+18)+계양도서관+3층+옥상"
"10","고잔","인천+남동구+고잔동+637번지+한국산업단지관리공단+경인지역본부+옥상"
"11","백령도","인천+옹진군+백령면+연화리+산1025-1"
"12","부평역","인천+부평구+부평3동+186-218+(신촌사거리)"
"13","석모리","인천+강화군+삼산면+석모리+347-4+(해병+1935부대)"
"14","석바위","인천+남구+주안6동+1587+(석바위+삼거리)"
"15","송현","인천+동구+송현동+119번지+송현변전소"
"16","숭의","인천+남구+숭의동+131-1번지+(독정이로+95)+남구의회+옥상"
"17","신흥","인천+중구+신흥동+2가+18-4+보건환경연구원+옥상+(서해대로+471)"
"18","연희","인천+서구+심곡동+244+서구청+본관"
"19","경안동","경기+광주시+경안동+53-4+농협중앙회+옥상"
"20","광교동","경기+수원시+영통구+법조로+129+(하동+981,+이의중학교+옥상)"
"21","금촌동","경기+파주시+금촌동+후곡로+13+교육문화회관+별관+옥상"
"22","기흥","경기+용인시+기흥구+관곡로+95+기흥구청사옥상"
"23","동수원","경기+수원시+팔달구+우만동+562-7번지+동수원+4거리+SK생명앞"
"24","모란역","경기+성남시+수정구+수진2동+453번지+모란역+4거리+모란전광판+앞"
"25","봉산동","경기+안성시+봉산동+시청길+25+안성시청+식당동+옥상"
"26","부곡3동","경기+의왕시+부곡3동+부곡중앙남1길+19+(부곡동+주민센터)"
"27","설성면","경기+이천시+설성면+신필리+산+88-5+(전파연구소+입구)"
"28","소사본동","경기+부천시+소사구+경인옛로+72+(소사구청+소향관)"
"29","소하동","경기+광명시+소하동+1331+소하도서관+옥상"
"30","안중","경기+평택시+안중읍+안중리+안중읍사무소+3층+옥상"
"31","양평","경기+양평군+용문면+용문로+375+343+용문도서관+옥상"
"32","여주","경기+여주시+하동+134-11+(중앙동사무소+2층+옥상)"
"33","원시동","경기+안산시+단원구+산단로+112+(민주노총+사무실)"
"34","의정부동","경기+의정부시+의정부2동+551-2+(경기도+도로관리사업소)"
"35","정왕동","경기+시흥시+정왕동+1799-5+(환경관리센터옥상)"
"36","창전동","경기+이천시+창전동+영창로+163번길+28"
"37","평택항","경기+평택시+포승읍+만호리+(포승읍+평택항로)+576-4(184번길+38)한국산업단지공단+평택지사+본관+3층+옥상"
"38","행신동","경기+고양시+덕양구+행신동+59-3+행신배수지"
"39","간성읍","강원+고성군+간성읍+흘리+산+1-92+(동원농산내+야산)"
"40","남양동1","강원+삼척시+남양동+339-1+(남양동+주민센터+3층+옥상)"
"41","방산면","강원+양구군+방산면+송현1리+519-2번지+방산배수지+내"
"42","석사동","강원+춘천시+석사동+322-1+(석사119안전센터+2층+옥상)"
"43","중앙로","강원+춘천시+중앙로+3가+67-1+(춘천시보건소+3층+옥상)"
"44","천곡동","강원+동해시+천곡동+806+(동해시청+4층+옥상)"
"45","치악산","강원+횡성군+강림면+강림리(치악산)+1538번지+강림면사무소+옥상"
"46","모종동","충남+아산시+모종동+573-2+보건소옥상"
"47","정곡리","충남+당진시+송악면+정곡리+66-12번지+정곡마을회관2층옥상"
"48","매포읍","충북+단양군+매포읍+평동리+1274+(평동33길+3),(매포+보건지소+마당)"
"49","문화동","충북+청주시+상당구+문화동+89번지+(상당로+92),+충북도청+동관+4층+옥상"
"50","복대동","충북+청주시+흥덕구+복대동+111+산단육거리+교차점광장"
"51","사천동","충북+청주시+청원구+사천동+233-223번지+(사뜸로+61번길+88-14),+청주청원도서관+옥상(2층)"
"52","송정동(봉명동)","충북+청주시+흥덕구+직지대로+620+70"
"53","오창읍","충북+청주시+청원구+오창읍+각리+637-4+각리중학교+4층+(오창중앙로+48)"
"54","옥천읍","충북+옥천군+옥천읍+중앙로+99+(옥천군청+통합관제센터+옥상)"
"55","용암동","충북+청주시+상당구+용암동+1590+(중흥로+29),+용암1동+주민센터+3층+옥상"
"56","장락동","충북+제천시+장락동+672-8+(내제로+318),+(시립도서관+주차장+옆,+화단)"
"57","진천읍","충북+진천군+진천읍+상산로+65+읍내리+370-1"
"58","칠금동","충북+충주시+칠금동+874번지+(칠금동+주민센터+옥상)(칠금+중랑로+37)"
"59","호암동","충북+충주시+호암동+562+(충주시+청소년수련원+옥상)+(중원대로+3324)"
"60","노은동","대전+유성구+노은동+546번지+노은1동+주민센터+3층+옥상"
"61","대흥동1","대전+중구+대흥동+630-1번지+선+도로부지"
"62","둔산동","대전+서구+둔산동+1304번지+근로자+종합복지회관+(3층+옥상)"
"63","문평동","대전+대덕구+문평동+79-1+(소방파출소)"
"64","월평동","대전+서구+월평동+1528번지+도로부지+(월평자동차종합시장앞)"
