SIG_CD,HubDist,std
43111,1047.456081,0.585811418
43112,1034.426337,0.613085267
43113,1025.406539,0.6319655
43114,1029.642358,0.623099086
43130,1052.207276,0.575866221
43150,1070.367273,0.53785373
43720,1059.403554,0.560802978
43730,1066.229824,0.546514234
43740,1084.102038,0.509104132
43745,1037.528812,0.606591169
43750,1019.704482,0.643901042
43760,1058.026533,0.563685357
43770,1030.223783,0.62188205
43800,1098.143811,0.479711905
44131,1006.885105,0.670734549
44133,998.8791303,0.687492649
44150,1009.023473,0.666258519
44180,956.3032464,0.776612453
44200,985.5261647,0.715443065
44210,944.8502687,0.800585816
44230,1028.665251,0.625144367
44250,1031.106112,0.620035159
44270,952.5322158,0.784505971
44710,1058.236801,0.563245224
44760,1004.562195,0.675596863
44770,995.3947921,0.694786063
44790,991.92198,0.70205535
44800,965.7546206,0.756828844
44810,975.5383065,0.736349641
44825,910.6719087,0.87212793
50110,1141.009121,0.389986275
50130,1166.7198,0.336168703
45111,1048.360184,0.58391895
45113,1043.412329,0.594275795
45130,987.7681158,0.710750215
45140,1024.928684,0.632965746
45180,1040.953962,0.599421647
45190,1091.13086,0.494391408
45210,1020.4827,0.642272076
45710,1047.7969,0.585098016
45720,1071.001044,0.536527122
45730,1087.362981,0.502278328
45740,1086.914222,0.50321767
45750,1067.418885,0.544025294
45770,1064.682408,0.549753285
45790,1026.45863,0.629763264
45800,1002.061094,0.680832166
46110,1049.139007,0.582288718
46130,1160.084358,0.350058006
46150,1112.292149,0.450096615
46170,1061.516052,0.556381097
46230,1131.677898,0.409518382
46710,1064.775081,0.549559301
46720,1090.100506,0.496548144
46730,1107.851508,0.459391761
46770,1133.738641,0.405204836
46780,1112.104909,0.450488545
46790,1083.108917,0.511182931
46800,1099.178829,0.477545406
46810,1090.245553,0.496244531
46820,1075.062598,0.528025481
46830,1066.045282,0.546900518
46840,1039.954881,0.601512922
46860,1040.583746,0.600196582
46870,1013.139809,0.657642208
46880,1044.116867,0.592801057
46890,1118.355598,0.437404609
46900,1057.146033,0.565528418
46910,1012.094672,0.659829888
28110,919.1334632,0.854416211
28140,929.6613732,0.832379199
28170,932.5818239,0.826266114
28185,933.4152657,0.824521554
28200,938.3882645,0.814112077
28237,936.1367923,0.818824857
28245,934.732661,0.821763984
28260,925.5837328,0.840914512
28710,888.7638897,0.917985776
28720,849.5826088,1
31110,1233.056046,0.197313731
31140,1237.096759,0.188855713
31170,1245.254003,0.171780977
31200,1237.73502,0.187519706
31710,1224.583612,0.215048221
36110,1019.843762,0.643609499
11110,954.0028886,0.78142756
11140,956.1703317,0.77689067
11170,956.0536778,0.777134849
11200,960.3365019,0.768170046
11215,964.1652911,0.760155627
11230,959.94883,0.76898152
11260,963.1556457,0.762269016
11290,956.8260542,0.775518112
11305,954.683747,0.780002388
11320,955.4501323,0.77839819
11350,959.6115102,0.769687598
11380,948.033674,0.793922315
11410,950.3665215,0.7890392
11440,948.8777691,0.792155455
11470,945.7886144,0.798621672
11500,941.5538187,0.807485942
11530,947.117196,0.795840686
11545,951.9548859,0.785714437
11560,950.8446614,0.788038358
11590,954.2647136,0.780879508
11620,955.3862287,0.778531953
11650,962.7883108,0.763037921
11680,964.465294,0.759527662
11710,968.1524666,0.751809675
11740,969.2095784,0.74959693
26110,1235.762933,0.191647677
26140,1234.710979,0.193849625
26170,1235.593303,0.192002746
26200,1240.493264,0.181746152
26230,1233.536821,0.196307371
26260,1234.206184,0.194906261
26290,1239.669539,0.183470372
26320,1228.310845,0.207246381
26350,1240.72218,0.181266985
26380,1236.094368,0.190953918
26410,1232.187881,0.199130972
26440,1223.215065,0.217912862
26470,1235.668623,0.191845087
26500,1239.191049,0.184471948
26530,1229.426894,0.204910268
26710,1240.02748,0.18272113
30110,1049.420162,0.581700206
30140,1045.38129,0.590154369
30170,1039.653903,0.60214293
30200,1033.893872,0.614199822
30230,1041.817123,0.597614879
27110,1161.025107,0.34808883
27140,1164.935687,0.339903206
27170,1156.971177,0.356574512
27200,1161.687244,0.346702844
27230,1155.80311,0.359019509
27260,1167.92178,0.33365272
27290,1157.958464,0.354507923
27710,1159.998859,0.35023697
29110,1072.705428,0.532959507
29140,1064.043787,0.551090046
29155,1065.005488,0.549077013
29170,1066.376426,0.546207368
29200,1054.420304,0.571233912
47111,1224.308999,0.215623041
47113,1198.10449,0.270474298
47130,1214.392156,0.236380968
47150,1111.405276,0.451953016
47170,1138.776062,0.394660511
47190,1124.49395,0.424555816
47210,1114.701128,0.445054142
47230,1180.856609,0.306577547
47250,1090.634652,0.49543007
47280,1084.258587,0.508776443
47290,1180.871044,0.306547331
47720,1151.54606,0.367930364
47730,1137.580777,0.39716248
47750,1174.585999,0.319703182
47760,1169.302058,0.330763523
47770,1190.998763,0.285347999
47820,1184.596652,0.298748893
47830,1145.793879,0.379970822
47840,1128.595931,0.415969553
47850,1143.520202,0.384730083
47900,1111.846453,0.451029546
47920,1140.000728,0.392097042
47930,1171.847812,0.325434752
47940,1327.32024,0
48121,1195.436051,0.276059871
48123,1201.957264,0.262409673
48125,1191.360504,0.284590802
48127,1190.864228,0.285629607
48129,1210.681373,0.244148377
48170,1158.951737,0.352428806
48220,1208.276536,0.24918218
48240,1161.509015,0.347075914
48250,1212.42174,0.240505442
48270,1196.299012,0.274253521
48310,1216.921603,0.231086332
48330,1221.06242,0.222418778
48720,1159.220763,0.351865681
48730,1178.503922,0.311502189
48740,1170.953638,0.327306438
48820,1183.663343,0.300702494
48840,1173.612723,0.321740443
48850,1134.097878,0.404452882
48860,1130.234301,0.412540118
48870,1108.744893,0.45752173
48880,1112.120814,0.450455255
48890,1140.368721,0.391326758
41111,965.7055073,0.756931648
41113,966.555663,0.755152103
41115,968.3684477,0.751357584
41117,972.42259,0.742871457
41131,970.3143349,0.747284454
41133,974.0481045,0.739468931
41135,972.0079585,0.743739363
41150,956.7160437,0.775748386
41171,954.8609261,0.779631516
41173,958.7619275,0.771465944
41190,940.8293304,0.809002441
41210,949.308312,0.791254243
41220,974.9714815,0.737536119
41250,951.0161983,0.787679297
41271,955.2929237,0.778727259
41273,937.3398932,0.816306527
41281,942.6903945,0.805106863
41285,935.0226035,0.821157076
41287,929.4886227,0.8327408
41290,961.5812148,0.765564614
41310,966.4282744,0.755418753
41360,972.9259945,0.741817731
41370,975.9435445,0.735501398
41390,944.7665594,0.800761036
41410,957.9564181,0.773152035
41430,963.1750774,0.762228342
41450,975.4235157,0.736589922
41461,991.7060929,0.702507245
41463,977.6217671,0.731988543
41465,971.7306099,0.744319909
41480,932.9720965,0.825449196
41500,1010.452093,0.663268133
41550,1003.137412,0.678579218
41570,923.6767928,0.844906117
41590,959.234932,0.770475851
41610,986.6255132,0.71314191
41630,949.0180374,0.791861846
41650,965.3564199,0.757662358
41670,1015.37411,0.652965372
41800,937.5170722,0.815935656
41820,984.966061,0.716615474
41830,1006.294914,0.671969936
42110,1010.195445,0.663805349
42130,1047.217451,0.586310918
42150,1105.088963,0.465174319
42170,1131.082728,0.410764191
42190,1135.538537,0.401437296
42210,1065.108552,0.548861281
42230,1143.775964,0.384194722
42720,1039.181094,0.603132613
42730,1045.344274,0.590231851
42750,1095.320477,0.485621704
42760,1083.196888,0.510998791
42770,1109.604204,0.45572302
42780,975.0527152,0.737366081
42790,994.3170172,0.69704206
42800,1022.279397,0.638511231
42810,1044.309346,0.592398161
42820,1050.508335,0.579422442
42830,1077.276328,0.523391702
