"YEAR","MONTH","SO2","CO","O3","NO2","PM10","MEAN_TEMP","MEAN_MAX_TEMP","MEAN_MIN_TEMP","MAX_TEMP","MIN_TEMP","MEAN_PRES","MEAN_SEA_PRES","MAX_SEA_PRES","MIN_SEA_PRES","MEAN_WATER_PRES","MAX_WATER_PRES","MIN_WATER_PRES","MEAN_DEW_TEMP","MEAN_HUM","MIN_HUM","SUM_PRECI","DAY_MAX_PRECI","HOUR_MAX_PRECI","TEN_MINU_MAX_PRECI","MEAN_WIND_SPED","MAX_WIND_SPED","MAX_INST_WIND_SPED","MAX_WIND_DIR","MAX_INST_WIND_DIR","SUM_SUN","PERC_SUN","MAX_SNOW_DEP","MAX_NEW_SNOW_DEP","SUM_SNOW","MEAN_MIN_GRA_TEMP","MIN_GRA_TEMP","MEAN_SURF_TEMP","BEIJING_PM2.5","SHANGHAI_PM2.5","BEIJIING_PM2,5_STD","SHANGHAI_PM2,5_STD","EM2_CO","EM2_NOX","EM2_SOX","EM2_TSP","EM2_PM10","EM2_VOC","EM2_NH3","EM2_PM2.5","EM3_CO","EM3_NOX","EM3_SOX","EM3_TSP","EM3_PM10","EM3_VOC","EM3_NH3","EM3_PM2.5","EM4_CO","EM4_NOX","EM4_SOX","EM4_TSP","EM4_PM10","EM4_VOC","EM4_NH3","EM4_PM2.5","EM5_CO","EM5_NOX","EM5_SOX","EM5_TSP","EM5_PM10","EM5_VOC","EM5_NH3","EM5_PM2.5","EM6_CO","EM6_NOX","EM6_SOX","EM6_TSP","EM6_PM10","EM6_VOC","EM6_NH3","EM6_PM2.5","EM7_CO","EM7_NOX","EM7_SOX","EM7_TSP","EM7_PM10","EM7_VOC","EM7_NH3","EM7_PM2.5","EM8_CO","EM8_NOX","EM8_SOX","EM8_TSP","EM8_PM10","EM8_VOC","EM8_NH3","EM8_PM2.5","EM9_CO","EM9_NOX","EM9_SOX","EM9_TSP","EM9_PM10","EM9_VOC","EM9_NH3","EM9_PM2.5","POP_DEN","YD_FREQ","X_COORD","Y_COORD"
2012,1,"0.010390773","0.948158254","0.011283582","0.043115332","61.87601078",-2.8,1.3,-6.3,8.4,-12.2,1015.1,1026.1,1037.5,1015,2.6,6.2,0.6,-12.8,49,12,"6.7","3.9",0,0,2.5,7.5,12.6,"320",340,190.5,62.05,6.2,6.2,9.6,-12.5,-17.7,"-2.3","118.9223881","64.43918919","93.7154034477627","29.4729942059857","365444","838279","27319","5311","4974","33481","10168","4434","21723","70142","6289","266","259","3377","850","218","","","","","","","","","0","0","0","0","0","35895","0","0","0","0","0","0","0","3018678","0","0","3641521","1369579","1121","41913","41913","542311","50419","38559","266195","578996","1195","30365","30365","77648","228","27935","0","0","0","0","0","0","31","0","15941.56","0",126.9100992512,37.5222569283
2012,1,"0.010110363","0.681695828","0.012590848","0.033289367","61.0807537",-2.8,1.3,-6.3,8.4,-12.2,1015.1,1026.1,1037.5,1015,2.6,6.2,0.6,-12.8,49,12,"6.7","3.9",0,0,2.5,7.5,12.6,"320",340,190.5,62.05,6.2,6.2,9.6,-12.5,-17.7,"-2.3","118.9223881","64.43918919","92.929231562356","28.3230831899307","409786","664999","42613","4456","3927","23691","7075","3082","3633","16787","4892","148","136","410","416","70","","","","","","","","","0","0","0","0","0","4212","0","0","0","0","0","0","0","1117272","0","0","1617857","569871","460","15846","15846","258834","20545","14576","125677","271180","105","13967","13967","35808","74","12848","0","0","0","0","0","0","2","0","6910.37","0",126.9772590125,37.594873769
2012,1,"0.008775676","0.662027027","0.009921622","0.032366216","60.22462788",-2.8,1.3,-6.3,8.4,-12.2,1015.1,1026.1,1037.5,1015,2.6,6.2,0.6,-12.8,49,12,"6.7","3.9",0,0,2.5,7.5,12.6,"320",340,190.5,62.05,6.2,6.2,9.6,-12.5,-17.7,"-2.3","118.9223881","64.43918919","92.389693769009","28.6664229870769","1758253","1095028","493343","26111","20542","28071","8842","11583","1544","4833","13","19","17","193","109","7","","","","","","","","","0","0","0","0","0","7785","0","0","0","0","0","0","0","5281410","0","0","1664059","623229","519","18422","18422","264945","25631","16949","213460","462277","532","24005","24005","61479","153","22084","0","0","0","0","0","0","2","0","13388.15","0",126.9959081069,37.560096301
2012,1,"0.007064865","0.569824087","0.010325676","0.03852973","58.66847091",-2.8,1.3,-6.3,8.4,-12.2,1015.1,1026.1,1037.5,1015,2.6,6.2,0.6,-12.8,49,12,"6.7","3.9",0,0,2.5,7.5,12.6,"320",340,190.5,62.05,6.2,6.2,9.6,-12.5,-17.7,"-2.3","118.9223881","64.43918919","92.4187321188129","28.9928523944391","424815","745347","69517","7752","6740","25708","12991","4934","641","1761","3","1","1","85","25","1","","","","","","","","","0","0","0","0","0","12289","0","0","0","0","0","0","0","1119043","0","0","2147099","622273","593","18800","18800","303468","31027","17295","110732","246710","1748","13609","13609","34659","176","12522","0","0","0","0","0","0","1","0","11122.34","0",126.9798450661,37.5313346158
2012,1,"0.008925876","0.75754717","0.010644205","0.028787062","61.40782123",-2.8,1.3,-6.3,8.4,-12.2,1015.1,1026.1,1037.5,1015,2.6,6.2,0.6,-12.8,49,12,"6.7","3.9",0,0,2.5,7.5,12.6,"320",340,190.5,62.05,6.2,6.2,9.6,-12.5,-17.7,"-2.3","118.9223881","64.43918919","91.3526163372069","28.4659926862433","336489","580818","57801","6433","5657","23477","7613","4423","11347","33465","220","85","80","1408","630","46","","","","","","","","","0","0","0","0","0","13530","0","0","0","0","0","0","0","2749162","0","0","2567448","794977","707","23895","23895","366721","34259","21986","72840","158482","341","8311","8311","21290","62","7646","54","1087","30","22","16","3219","1077","14","17783.13","0",127.0410038774,37.5509814717
2012,1,"0.007732414","0.809793103","0.010914483","0.02988","61.71724138",-2.8,1.3,-6.3,8.4,-12.2,1015.1,1026.1,1037.5,1015,2.6,6.2,0.6,-12.8,49,12,"6.7","3.9",0,0,2.5,7.5,12.6,"320",340,190.5,62.05,6.2,6.2,9.6,-12.5,-17.7,"-2.3","118.9223881","64.43918919","90.3995224904928","28.2314611664904","194555","683669","8362","4409","4305","30091","9314","4122","1045","2921","5","2","2","138","42","1","","","","","","","","","0","0","0","0","0","30847","0","0","0","0","0","0","0","1690683","0","0","2857323","929938","778","26557","26557","414182","37874","24434","158407","341804","132","17604","17604","45135","95","16195","0","0","0","0","0","0","12","0","21760.62","0",127.0856942073,37.5466574226
2012,1,"0.007872801","0.759404601","0.009281461","0.040661705","63.23274696",-2.8,1.3,-6.3,8.4,-12.2,1015.1,1026.1,1037.5,1015,2.6,6.2,0.6,-12.8,49,12,"6.7","3.9",0,0,2.5,7.5,12.6,"320",340,190.5,62.05,6.2,6.2,9.6,-12.5,-17.7,"-2.3","118.9223881","64.43918919","91.4491187631679","28.1002114903874","436372","680031","87819","8739","7562","28447","8233","5702","4613","13642","51","35","35","681","176","32","","","","","","","","","0","0","0","0","0","13520","0","0","0","0","0","0","0","1612362","0","0","2766689","886773","746","26399","26399","406635","33966","24285","118097","257190","608","13513","13513","34636","102","12434","0","0","0","0","0","0","2","0","25578.06","0",127.0547950923,37.5819116475
2012,1,"0.008477027","0.777916667","0.011394595","0.037601351","61.17520216",-2.8,1.3,-6.3,8.4,-12.2,1015.1,1026.1,1037.5,1015,2.6,6.2,0.6,-12.8,49,12,"6.7","3.9",0,0,2.5,7.5,12.6,"320",340,190.5,62.05,6.2,6.2,9.6,-12.5,-17.7,"-2.3","118.9223881","64.43918919","90.6508517573571","27.7419567918288","241427","551346","43806","6039","5458","24906","7262","4545","1905","5655","81","15","13","248","108","6","","","","","","","","","0","0","0","0","0","19702","0","0","0","0","0","0","0","1731681","0","0","3140536","1013986","855","30161","30161","469471","39030","27748","115438","250669","443","13113","13113","33572","91","12065","0","0","0","0","0","0","0","0","22668.3","0",127.092831825,37.5977594063
2012,1,"0.007272605","0.860863698","0.012944595","0.034529015","55.64189189",-2.8,1.3,-6.3,8.4,-12.2,1015.1,1026.1,1037.5,1015,2.6,6.2,0.6,-12.8,49,12,"6.7","3.9",0,0,2.5,7.5,12.6,"320",340,190.5,62.05,6.2,6.2,9.6,-12.5,-17.7,"-2.3","118.9223881","64.43918919","92.2264658938433","28.0369141636298","714876","908325","164431","14513","12294","36284","11818","8791","1219","3360","8","2","2","161","43","2","","","","","","","","","0","0","0","0","0","17842","0","0","0","0","0","0","0","1783385","0","0","3654753","1021559","916","29454","29454","535199","45746","27097","95661","207067","218","10739","10739","27529","66","9880","0","0","0","0","0","0","4","0","19610.51","0",127.0175219975,37.6056595271
2012,1,"0.009154054","0.639434724","0.014501351","0.039066216","52.49795918",-2.8,1.3,-6.3,8.4,-12.2,1015.1,1026.1,1037.5,1015,2.6,6.2,0.6,-12.8,49,12,"6.7","3.9",0,0,2.5,7.5,12.6,"320",340,190.5,62.05,6.2,6.2,9.6,-12.5,-17.7,"-2.3","118.9223881","64.43918919","92.7597467046628","27.7093941874297","270201","548797","52402","6484","5783","24365","7220","4677","440","1227","2","1","1","57","17","1","","","","","","","","","0","0","0","0","0","9590","0","0","0","0","0","0","0","1321202","0","0","2434008","712805","599","20285","20285","366048","27851","18665","85385","184240","71","9487","9487","24328","51","8729","0","0","0","0","0","0","1","0","14542.54","0",127.0111306908,37.6434355798
